no,legacy_screen,module,legacy_path,actions,fields_filters,tables_columns,business_validation,status_audit_offline,outputs_acceptance
11,Harga Beli dan Harga Jual,Analisis Harga,Stok Barang > Harga Beli/Jual,Pertama; Sebelum; Berikut; Terakhir; Tambah Barang; Ubah Harga; Simpan; Batal; Cetak; Barang Kedaluwarsa; Stok Opname; Master Harga Beli; Master Harga Jual; Ekspor Excel; Kembali (padanan Ke Menu),Cari nama barang; Cari kode; Filter Semua; Stok ada; Stok nol; Margin negatif,"Grid 1: Kode, Nama Barang, Sat, Stok, Hrg Beli, Jual Kredit, Jual Tunai, Margin Tunai","Harga beli, harga jual kredit/tunai, harga rata-rata, tanggal harga, stok, dan margin harus dibandingkan pada satu konteks produk. Harga nol, harga jual di bawah biaya, dan margin negatif menjadi exception. Faktur historis tetap memakai snapshot harga transaksi.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Laporan analisis harga dan margin, preview/cetak, serta Excel; keluaran harga beli diproteksi oleh hak akses. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
12,Memilih dan Menjalankan Cetak Harga Beli/Jual,Analisis Harga,Harga Beli/Jual > Cetak,Cari; Muat Ulang; Harga Jual; Harga Beli (berizin); Preview Cetak; Ekspor Excel; Simpan Filter; Kembali (padanan Ke Menu),Cari nama barang; Cari kode; Filter Semua; Stok ada; Stok nol; Harga: Jual; Kanal: Kredit & Tunai,"Grid 1: Kode, Nama Barang, Stok, Sat, Hrg Beli, Hrg Jual Kredit, Hrg Jual Tunai, RL % Tunai","Pilihan jenis harga, kanal, stok, kode/nama, dan cakupan harus diteruskan tanpa berubah ke preview, cetak, dan ekspor. Harga beli hanya terlihat bagi peran berwenang; penyembunyian kolom tidak boleh mengubah total atau susunan data lain.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Preview, cetak, Excel, dan filter tersimpan dengan jenis harga serta kanal yang dipilih. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
13,Mencetak Harga Jual,Harga Jual,Harga Beli/Jual > Cetak Harga Jual,Halaman Pertama; Sebelum; Berikut; Terakhir; Zoom 100%; Cetak; Unduh PDF; Ekspor Excel; Simpan Snapshot; Riwayat Cetak; Kembali (padanan Ke Menu),Periode; Gudang / Pihak; Versi snapshot; Penanda,"Grid 1: No., #Brg, Nama Barang, Sat, Hrg Jual Kredit, Hrg Jual Tunai","Daftar harga jual umum dan khusus customer harus menyatakan customer/kanal, tanggal efektif, versi, satuan, dan status. Perubahan harga membuat versi baru; histori tidak ditimpa dan invoice lama tidak dihitung ulang dengan master harga terbaru.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Daftar harga jual PDF/cetak/Excel dengan customer/kanal, tanggal efektif, versi, dan audit reprint. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
14,Mengekspor Data Harga/Stok ke Excel,Ekspor Data,Daftar Harga/Stok > Cetak ke Excel,Cari; Muat Ulang; Harga Jual; Harga Beli (berizin); Preview Cetak; Ekspor Excel; Simpan Filter; Kembali (padanan Ke Menu); Batal; Ekspor Sekarang,Format; Nama file; Data; Kolom; Cari nama barang; Cari kode; Filter Semua; Stok ada; Stok nol; Harga: Jual; Kanal: Kredit & Tunai,"Grid 1: Kode, Nama Barang, Stok, Sat, Hrg Beli, Hrg Jual Kredit, Hrg Jual Tunai, RL % Tunai","Ekspor harus mempertahankan kode sebagai teks termasuk nol di depan, tipe tanggal dan desimal, seluruh kolom terpilih, urutan/filter, jumlah baris, dan total. File wajib mempunyai nama, waktu, pembuat, parameter, serta log ekspor yang dapat diaudit.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","File Excel/CSV terkontrol dengan log ekspor, nama file, parameter, jumlah baris, checksum/versi, dan pengguna. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
15,Mencetak Daftar Stok,Laporan Persediaan,Stok Barang > Cetak Stok,Pertama; Sebelum; Berikut; Terakhir; Cari Kode; Cari Nama; Preview Cetak; Cetak Langsung; Ekspor Excel; Simpan Filter; Kembali (padanan Ke Menu),Cari kode / nama barang; Gudang; Tanggal acuan; Filter Semua; Stok minimum; Stok kurang; Stok ada,"Grid 1: Kode, Nama Barang, Sat, Hrg Beli, Awal, Masuk, Keluar, Akhir, Total Harga, Min","Daftar stok cetak harus menggunakan gudang dan tanggal acuan yang sama dengan layar, menyediakan filter serta pengurutan legacy, dan merekonsiliasi saldo serta nilai terhadap ledger. Harga beli/nilai hanya diberikan kepada peran berwenang.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Preview/cetak/Excel daftar stok dengan cut-off, gudang, filter, total nilai, dan jumlah jenis barang. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
16,Hasil Cetak Stok,Laporan Persediaan,Cetak Stok > Preview,Halaman Pertama; Sebelum; Berikut; Terakhir; Zoom 100%; Cetak; Unduh PDF; Ekspor Excel; Simpan Snapshot; Riwayat Cetak; Kembali (padanan Ke Menu),Periode; Gudang / Pihak; Versi snapshot; Penanda,"Grid 1: #Brg, Nama Barang, Satuan, Awal, Masuk, Keluar, Akhir, Stok Min, Harga Beli, Jumlah Rupiah","Hasil cetak stok adalah snapshot layar 15: header berulang, nomor halaman, seluruh kolom, total nilai, jumlah barang, dan parameter harus lengkap tanpa terpotong. Cetak ulang wajib memakai versi yang sama atau diberi versi baru dengan alasan.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Dokumen PDF/cetak/Excel final dari daftar stok dengan snapshot dan riwayat reprint. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
17,Menu Master Harga,Master Harga,Menu Utama > Master Harga,Muat Ulang; Riwayat Perubahan Harga; Persetujuan Tertunda; Impor Harga; Ekspor Template; Kembali (padanan Ke Menu); Buka Harga Beli; Buka Harga Jual,Tidak ada field entri utama; parameter ditentukan melalui konteks modul dan tombol tindakan.,Tidak ada grid utama pada layar ini; komponen utama: form detail dan panel informasi. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.,"Kedua jalur master harga - harga beli per supplier dan harga jual per customer - harus benar-benar dapat dibuka. Hak akses, riwayat perubahan, persetujuan tertunda, impor, dan ekspor template bukan kartu dekoratif atau tombol semu.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Navigasi ke dua master harga, template impor/ekspor, daftar approval, dan riwayat; setiap tombol harus menuju fungsi nyata. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
18,Master Harga Beli per Supplier,Master Harga Beli,Master Harga > Harga Beli,Tambah Harga; Ubah Harga; Simpan; Batal; Hapus Versi; Salin Harga; Impor Excel; Ekspor Excel; Riwayat; Bandingkan Supplier; Kembali (padanan Ke Menu),Cari barang...; Filter Semua; Barang terpilih; Supplier terpilih,"Grid 1: #Brg, Nama Barang; Grid 2: #Suppl, Supplier, Harga Beli, Tgl Efektif; Grid 3: #Brg, Nama Barang, Harga Beli, Tanggal","Pasangan supplier-produk harus unik pada rentang efektif yang sama. Harga dibuat berversi, overlap ditolak, histori dan alasan perubahan tersedia, dan resolver harga transaksi memilih versi yang tepat. Hapus versi hanya untuk data belum dipakai atau melalui nonaktif/reversal yang diaudit.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Template impor, Excel, histori versi, daftar perbandingan supplier, dan bukti approval harga. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
19,Master Harga Jual per Customer,Master Harga Jual,Master Harga > Harga Jual,Tambah Harga; Ubah Harga; Simpan; Batal; Hapus Versi; Salin Harga; Impor Excel; Ekspor Excel; Riwayat; Simulasi Margin; Kembali (padanan Ke Menu),Cari barang...; Filter Semua; Barang terpilih; Customer terpilih,"Grid 1: #Brg, Nama Barang; Grid 2: #Cust, Customer, Harga Jual, Tgl Efektif; Grid 3: #Brg, Nama Barang, Harga Jual, Tanggal","Pasangan customer-produk harus unik pada rentang efektif yang sama. Harga dibuat berversi, overlap ditolak, simulasi margin tersedia, histori disimpan, dan transaksi mengambil harga yang berlaku lalu menyimpannya sebagai snapshot.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Template impor, Excel, histori versi, simulasi margin, dan bukti approval harga. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
20,Proses Pembelian Barang dari Supplier,Pembelian,Menu Utama > Pembelian,Cetak Faktur; Tambah Baris; Ubah Baris; Hapus Baris; Selesai Ubah; Simpan Draft; Posting Transaksi; Batalkan Dokumen/Reversal untuk posted; Hutang; Bayar Hutang; Laporan; Kembali (padanan Ke Menu),Tanggal; No. Faktur; Supplier; Jatuh Tempo; Saldo Hutang; Status; Kode Barang; Nama Barang; Satuan; No. Batch; Tanggal Kedaluwarsa; Stok Barang; Banyak; Harga Satuan; Diskon %; Diskon Rp; Harga Beli Neto; Jumlah; Termin; Status Hutang; Nomor referensi,"Grid 1: #Barang, Nama Barang, Banyak, Harga, Jumlah, Batch, Expired","Pembelian wajib memelihara header dan baris, diskon, batch, expiry, harga neto, jumlah, termin, serta status. Posting harus atomik dan idempotent: dokumen, stok, batch, hutang, kas/jurnal, dan audit berhasil bersama. Dokumen posted dibatalkan/reversal, bukan dihapus.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Faktur pembelian, nomor posting, referensi stok/batch, hutang, jurnal, audit, dan cetak ulang terkontrol. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
21,Tombol Hutang pada Pembelian,Hutang Dagang,Pembelian > Hutang,Cetak Faktur; Tambah Baris; Ubah Baris; Hapus Baris; Selesai Ubah; Simpan Draft; Posting Transaksi; Batalkan Dokumen/Reversal untuk posted; Hutang; Bayar Hutang; Laporan; Kembali (padanan Ke Menu),Tanggal; No. Faktur; Supplier; Jatuh Tempo; Saldo Hutang; Status; Kode Barang; Nama Barang; Satuan; No. Batch; Tanggal Kedaluwarsa; Stok Barang; Banyak; Harga Satuan; Diskon %; Diskon Rp; Harga Beli Neto; Jumlah; Termin; Status Hutang; Nomor referensi,"Grid 1: #Barang, Nama Barang, Banyak, Harga, Jumlah, Batch, Expired","Tombol Hutang wajib menjadi deep-link fungsional yang membawa nomor faktur, supplier, tanggal, nilai, dan status dari pembelian aktif ke subledger hutang. Navigasi tidak boleh membentuk hutang kedua atau kehilangan konteks transaksi.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Deep-link ke hutang terkait dan kembali ke pembelian tanpa membuat output atau record baru. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
22,Data Hutang Supplier,Hutang Dagang,Pembelian > Hutang > Daftar,Bayar Hutang; Lihat Pembayaran; Analisis Hutang; Edit Pembayaran; Cetak; Ekspor Excel; Muat Ulang; Kembali (padanan Ke Menu),Cari supplier; Filter Semua; Tanggal acuan (As of); Belum Lunas; Tampilkan Lunas; Status BG: Semua,"Grid 1: Kode, Nama Supplier, Alamat; Grid 2: Tanggal, No. Faktur, Jatuh Tempo, Tgl Bayar, Jumlah, Keterangan","Hutang diperlakukan sebagai register event: tagihan menambah saldo dan pembayaran/retur/discount mengurangi saldo. Daftar supplier dan detail faktur harus sinkron, total outstanding direkonsiliasi, dan event settled tetap tersimpan.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Register hutang PDF/Excel, detail faktur, daftar event, outstanding, dan rekonsiliasi. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
23,Menampilkan Hutang yang Sudah Lunas,Hutang Dagang,Daftar Hutang > Lunas Muncul,Bayar Hutang; Lihat Pembayaran; Analisis Hutang; Edit Pembayaran; Cetak; Ekspor Excel; Muat Ulang; Kembali (padanan Ke Menu),Cari supplier; Filter Semua; Tanggal acuan (As of); Belum Lunas; Sembunyikan Lunas; Status BG: Semua,"Grid 1: Kode, Nama Supplier, Alamat; Grid 2: Tanggal, No. Faktur, Jatuh Tempo, Tgl Bayar, Jumlah, Keterangan","Tampilkan/Sembunyikan Lunas hanya mengubah filter. Record lunas, payment event, nomor BG, bank, tanggal, dan histori tidak boleh dihapus. Total pada layar harus dihitung ulang sesuai filter tanpa mengubah saldo sumber.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Register hutang termasuk settled/lunas PDF/Excel; parameter filter lunas wajib tercetak/terekspor. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
24,Pembayaran Hutang,Pembayaran Hutang,Pembelian > Bayar Hutang,Simpan Pembayaran; Batal; Lihat Bayar; Analisis Hutang; Edit Bayar; Cetak Bukti; Kembali (padanan Ke Menu),Tanggal; Total Hutang; Nama Supplier; Nomor Faktur; Pembayaran via; Jumlah Bayar; No. BG; Bank; BG Jatuh Tempo; Status; F4 - Cari No. Faktur / ESC - ke nama Supplier; Status belum lunas,"Tidak ada grid utama pada layar ini; komponen utama: Form Pembayaran Hutang, Alokasi Pembayaran. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.","Pembayaran hutang wajib dialokasikan ke faktur yang benar dan tidak boleh melebihi outstanding. Tunai, transfer, giro/BG, discount, dan retur harus membawa field terkait. Posting pembayaran harus idempotent dan atomik terhadap hutang, kas/bank, jurnal, serta audit.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Bukti pembayaran, nomor alokasi, referensi kas/bank/jurnal, status BG, dan audit. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
25,Melihat Pembayaran Hutang,Riwayat Pembayaran Hutang,Pembayaran Hutang > Lihat Bayar Utang,Periode; Cari Pihak; Semua; Tunai; Giro; Transfer; Discount; Retur; Cetak; Ekspor Excel; Tutup; Kembali (padanan Ke Menu),Tanggal awal (Dari); Tanggal akhir (Sampai); Cari supplier / faktur; Filter Semua; Tunai; Giro; Transfer; Discount; Retur,"Grid 1: Nama Supplier, No. Faktur, Tgl Bayar, Jumlah, Keterangan, No. BG, Bank, Tgl BG","Riwayat pembayaran harus menampilkan seluruh event dan metode, termasuk nilai pengurang, BG, bank, tanggal BG, discount, serta retur. Koreksi hanya melalui edit draft atau reversal/koreksi berotorisasi; event posted tidak dihapus.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Riwayat pembayaran PDF/Excel dan drill-down bukti tiap event. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
26,Mencetak Pembayaran Hutang,Laporan Pembayaran Hutang,Lihat Bayar Utang > Cetak,Halaman Pertama; Sebelum; Berikut; Terakhir; Zoom 100%; Cetak; Unduh PDF; Ekspor Excel; Simpan Snapshot; Riwayat Cetak; Kembali (padanan Ke Menu),Periode; Gudang / Pihak; Versi snapshot; Penanda,"Grid 1: Nama Supplier, No. Faktur, Tgl Bayar, Jumlah","Laporan pembayaran hutang harus memakai filter dan snapshot yang sama dengan riwayat, menampilkan supplier, faktur, tanggal, jenis, jumlah, dan total, serta merekonsiliasi ke subledger dan kas/bank.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Laporan pembayaran hutang PDF/cetak/Excel dengan snapshot dan riwayat reprint. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
27,Analisis Hutang,Analisis Hutang,Pembayaran Hutang > Analisis,As of Date; Per Pihak; Per Periode; Semua; Drill-down Faktur; Cetak; Ekspor Excel; Simpan Snapshot; Kembali (padanan Ke Menu),Tanggal acuan (As of); Periode dokumen; Per Supplier; Per Periode; Filter Semua,"Grid 1: Supplier, No. Faktur, Tanggal, Jatuh Tempo, Belum Jth Tmp, 1-30, 31-60, 61-90, >90","Aging hutang dihitung berdasarkan jatuh tempo dan as-of date yang sama. Bucket belum jatuh tempo, 1-30, 31-60, 61-90, dan >90 harus saling eksklusif serta jumlahnya sama dengan outstanding per supplier dan total subledger.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Aging hutang PDF/Excel, snapshot as-of, drill-down faktur, dan total rekonsiliasi. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
28,Mencetak Faktur Pembelian Barang,Cetak Pembelian,Pembelian > Cetak Faktur,Periode; Semua; Per Supplier; Per Barang; Drill-down Transaksi; Cetak; Ekspor Excel; Simpan Snapshot; Kembali (padanan Ke Menu),Tanggal awal (Dari); Tanggal akhir (Sampai); Filter Semua; Per Supplier; Per Barang; Cari supplier / faktur / barang,"Grid 1: #Suppl, Nama Supplier, Tanggal, No.Faktur, Nama Barang, Banyak, Harga Beli, Total Beli, Batch, Expired","Faktur/laporan pembelian harus mempertahankan supplier, faktur, tanggal, barang, kuantitas, harga, diskon, total, batch, dan expiry. Drill-down dan cetak harus mengacu ke dokumen yang sama, bukan query dengan cut-off berbeda.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Faktur/laporan pembelian PDF/cetak/Excel dengan detail barang, batch, expiry, diskon, dan total. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
