No,Layar_Legacy,Target_Modern,Reuse_Existing,Pekerjaan_Baru,Aksi_API_Utama,Target_Windows,Target_Android,Target_Offline,Hak_Admin,Hak_Pemilik_Sales_Inventory,Hak_Sales_Keliling,Evidence_Minimum
11,Harga Beli dan Harga Jual,Analisis Harga,Reuse Produk/Diskon; audit harga existing,Harga beli supplier dan harga jual customer effective-dated,si_price_analysis,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 11"
12,Memilih dan Menjalankan Cetak Harga Beli/Jual,Parameter Laporan Harga,Reuse LaporanScreen,Filter pihak/produk/periode/status; preview sebelum cetak,si_price_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 12"
13,Mencetak Harga Jual,Daftar Harga Jual,Reuse PriceTag/PDF/printing,"Price list customer/umum, versi snapshot, reprint reason",si_selling_price_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 13"
14,Mengekspor Data Harga/Stok ke Excel,Ekspor Harga & Stok,Reuse produk_grid_ekspor_excel dan file handling,"Excel dengan filter, metadata, jumlah baris, audit",si_inventory_export,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 14"
15,Mencetak Daftar Stok,Laporan Persediaan,Reuse laporan katalog,Stok per lokasi/batch/sales/warehouse dan nilai HPP,si_stock_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 15"
16,Hasil Cetak Stok,Preview Laporan Persediaan,Reuse PDF viewer/share,"Preview identik dengan cetak, total dan cut-off",si_stock_report_preview,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 16"
17,Menu Master Harga,Master Harga,Reuse Produk/Diskon sebagai dasar,"Workspace harga dengan versioning, approval, audit",si_price_book_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 17"
18,Master Harga Beli per Supplier,Harga Beli Supplier,Reuse Kulakan history,"Effective date, supplier-product, tier qty, approval",si_supplier_price_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 18"
19,Master Harga Jual per Customer,Harga Jual Customer,Reuse customer + produk,"Customer-product price, discount, margin guard, history",si_customer_price_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 19"
20,Proses Pembelian Barang dari Supplier,Kulakan / Pembelian Supplier,Perluas KulakanScreen dan kulakan_faktur_*,"Batch/expiry, pajak, termin, DP/kredit, tujuan stok, trip link",si_purchase_* / kulakan_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 20"
21,Tombol Hutang pada Pembelian,Deep-link Hutang,Reuse hasil Kulakan,Buka subledger AP dari faktur tanpa membuat hutang ganda,si_payable_from_purchase,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 21"
22,Data Hutang Supplier,Ledger Hutang,Baru di Flutter; audit model payable existing,"Invoice, pembayaran, saldo, jatuh tempo, aging",si_payable_list,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 22"
23,Menampilkan Hutang yang Sudah Lunas,Filter Hutang Lunas,Reuse filter/status,Tampilkan/sembunyikan settled tanpa delete,si_payable_list,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 23"
24,Pembayaran Hutang,Pembayaran Supplier,Reuse CaraPembayaran dan cash/bank context,"Cash/transfer/DP/alokasi multi-invoice, idempotent",si_payable_payment_create,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 24"
25,Melihat Pembayaran Hutang,Riwayat Pembayaran Hutang,Reuse history/detail dialog,"Detail alokasi, bukti, reversal, audit",si_payable_payment_history,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 25"
26,Mencetak Pembayaran Hutang,Voucher Pembayaran Hutang,Reuse PDF/printing,"Voucher, attachment, reprint audit",si_payable_payment_receipt,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 26"
27,Analisis Hutang,Aging Hutang,Reuse dashboard/chart components,"Aging supplier, due alerts, drill-down",si_payable_aging,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 27"
28,Mencetak Faktur Pembelian Barang,Cetak Faktur Pembelian,Reuse Kulakan detail,"Invoice purchase PDF/A4/thermal, snapshot",si_purchase_invoice_print,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 28"
29,Mencetak Laporan Pembelian per Periode,Laporan Pembelian,Reuse LaporanScreen,"Periode, supplier, sales trip, warehouse, cash/DP/credit",si_purchase_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 29"
30,Menu Penjualan,Penjualan Sales / Sales Order,"Reuse product picker, Keranjang, Pesanan; jangan samakan order dengan invoice","Mode Sales Lapangan: PESAN, SIAP_KIRIM, TERKIRIM, SIAP_TAGIH",si_sales_order_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 30"
31,Membuka Piutang dari Menu Penjualan,Deep-link Piutang,Reuse customer/order context,Buka AR subledger yang sama tanpa duplikasi,si_receivable_from_sale,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 31"
32,Data Piutang Customer,Ledger Piutang,Baru; link transaksi existing,"Saldo, jatuh tempo, sales, invoice, alokasi",si_receivable_list,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 32"
33,Menampilkan Piutang yang Sudah Lunas,Filter Piutang Lunas,Reuse status filter,Tampilkan/sembunyikan settled tanpa delete,si_receivable_list,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 33"
34,Pembayaran Piutang,Penerimaan Piutang,Reuse CaraPembayaran; baru allocation engine,"Full/partial, multi-invoice, cash/transfer, receipt",si_collection_create,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 34"
35,Melihat Pembayaran Piutang,Riwayat Penerimaan,Reuse detail/history,"Alokasi, attachment, user/device/location, reversal",si_collection_history,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 35"
36,Mencetak Pembayaran Piutang,Kwitansi Penerimaan,Reuse PDF/printing/share,Kwitansi dan reprint reason,si_collection_receipt,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 36"
37,Analisis Piutang per Customer,Aging Customer,Reuse analytics components,"Aging, credit utilization, payment behavior",si_receivable_aging_customer,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 37"
38,Analisis Piutang per Sales,Aging per Sales,Reuse sales dashboard,Assigned vs collected vs outstanding per sales/session,si_receivable_aging_sales,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 38"
39,Sales Membawa Nota,Surat Perintah Sales Jalan,Baru; pusat assignment barang dan invoice,"Auto number, pilih sales, departure, bulk notes, approval, print",si_spj_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Operasional untuk SPJ/sesi yang ditugaskan,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 39"
40,Nota Sales,Sesi Nota Sales,Baru; pusat aktivitas sales lapangan,"Barang, penjualan, collection, biaya, kulakan, return, settlement",si_trip_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Operasional untuk SPJ/sesi yang ditugaskan,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 40"
41,Laporan Piutang,Laporan Sesi & Piutang,Reuse LaporanScreen; tambah trip report,"Daftar invoice, collection, expense, purchase, cash reconciliation",si_trip_report / si_receivable_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Operasional untuk SPJ/sesi yang ditugaskan,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 41"
42,Mencetak Laporan Piutang,Cetak Laporan Sesi/Piutang,Reuse PDF/printing/share,"PDF/Excel, signature owner/sales, QR verification",si_trip_report_pdf,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Operasional untuk SPJ/sesi yang ditugaskan,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 42"
43,Kas dan Jurnal,Kas/Bank/Jurnal,"Reuse CaraPembayaran, sesi kas, laporan keuangan","Cash ledger session, journal events, owner settlement",si_cash_journal_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 43"
44,Membuat Perkiraan Baru,Master Akun,Audit akun existing; jangan duplikasi COA,Create/update/deactivate account with RBAC,si_coa_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 44"
45,Menu Laba/Rugi,Parameter Laba/Rugi,Reuse laporan_keuangan_katalog,"Periode, toko, sales session, basis posting",si_profit_loss_params,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 45"
46,Mencetak Laba Rugi Kotor,Laba Kotor,Reuse transaction HPP snapshots,Gross profit by product/customer/sales/session,si_gross_profit_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 46"
47,Laporan Laba/Rugi,Laporan Laba/Rugi,Reuse LaporanScreen,"Revenue, COGS, expense, net; drill-down journal",si_profit_loss_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 47"
48,Mencetak Laporan Laba/Rugi,Cetak Laba/Rugi,Reuse PDF/Excel/printing,"Snapshot, watermark, version, reprint audit",si_profit_loss_print,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 48"
