ID,Fase,No_Layar,Requirement,Repo,Status,Backend_Java,Flutter_Windows,Flutter_Android,Offline,RBAC,Print_Export,Automated_Test,UAT,Evidence,Commit,Blocker
SCR-11,P2,11,Harga Beli dan Harga Jual -> Analisis Harga,Keduanya,BACKEND_DONE,si_price_analysis (AIS 431c74c6),harga_screen tab Analisis (zishof 0b66b76),sama,menyusul P7,OK,cetak menyusul,analyze 0 error,Menunggu deploy,docs/pos-inventory-sales/evidence/p2/,AIS 431c74c6 + zishof 0b66b76,
SCR-12,P2,12,Parameter Laporan Harga,Keduanya,BACKEND_DONE,filter di si_price_analysis tersedia,parameter filter di tab Analisis + Cetak PDF/CSV dgn dialog "Jual Saja/Sertakan Harga Beli" (CetakUtilIs),sama,,OK,PDF+CSV OK (zishof 50651f2),analyze 0 error,,docs/pos-inventory-sales/evidence/p2/,zishof 50651f2,
SCR-13,P2,13,Mencetak Harga Jual -> Daftar Harga Jual,Keduanya,BACKEND_DONE,harga umum berversi (HargaJualCustomer anggota NULL),tab Harga Jual Customer + filter "Hanya umum",sama,,OK,cetak PDF menyusul,idem,,docs/pos-inventory-sales/evidence/p2/,idem SCR-11,Snapshot cetak menyusul
SCR-14,P2,14,Ekspor Harga/Stok Excel,Keduanya,BACKEND_DONE,reuse produk_ekspor_excel existing + si_inventory_balance/si_*_price_list,ekspor CSV kolom legacy penuh dari layar Persediaan & Harga (CetakUtilIs.eksporCsv) + ProdukScreen existing,sama,,OK,CSV OK (zishof 50651f2) + Excel produk existing,analyze 0 error,,docs/pos-inventory-sales/evidence/p2/,zishof 50651f2,
SCR-15,P2,15,Mencetak Daftar Stok -> Laporan Persediaan,Keduanya,BACKEND_DONE,data lengkap di si_inventory_balance (_ambilSemua loop paging),Cetak PDF laporan persediaan (pw.MultiPage + konteks toko/pengguna/waktu/parameter) + CSV,sama,,OK,PDF+CSV OK (zishof 50651f2),analyze 0 error,,docs/pos-inventory-sales/evidence/p2/,zishof 50651f2,
SCR-16,P2,16,Preview Laporan Persediaan,Keduanya,BACKEND_DONE,idem SCR-15,preview=Printing.layoutPdf (dialog print OS dgn preview) sebelum cetak,sama,,OK,PDF OK,analyze 0 error,,docs/pos-inventory-sales/evidence/p2/,zishof 50651f2,Snapshot/arsip reprint menyusul
SCR-17,P2,17,Menu Master Harga -> Master Harga,Keduanya,BACKEND_DONE,si_supplier_price_*+si_customer_price_*,harga_screen 3 tab (kedua jalur NYATA terbuka),sama,,OK,impor/ekspor template menyusul,idem,,docs/pos-inventory-sales/evidence/p2/,idem SCR-11,Approval berjenjang harga menyusul
SCR-18,P2,18,Master Harga Beli per Supplier,Keduanya,BACKEND_DONE,versi effective-dated + tolak overlap + versi terkunci,tab Harga Beli Supplier + nonaktif versi,sama,,OK,idem,idem,,docs/pos-inventory-sales/evidence/p2/,idem SCR-11,
SCR-19,P2,19,Master Harga Jual per Customer,Keduanya,BACKEND_DONE,idem + baris umum (anggota NULL),tab Harga Jual Customer + picker customer,sama,,OK,idem,idem,,docs/pos-inventory-sales/evidence/p2/,idem SCR-11,Simulasi margin ada di tab Analisis
SCR-20,P3,20,Proses Pembelian Barang dari Supplier -> Kulakan / Pembelian Supplier,Keduanya,BACKEND_DONE,PayableFakturInfo + si_purchase_terms_save (AIS 0cc88638) di atas kulakan_faktur_* existing,Tab Faktur: set CASH/DP/CREDIT+termin per faktur (zishof 4aaec16); entry faktur tetap via KulakanScreen existing,sama,menyusul P7,ctx.bolehAksi hutang/kulakan,cetak faktur PDF OK (SCR-28),analyze 0 error,Menunggu deploy server,docs/pos-inventory-sales/evidence/p3/,AIS 0cc88638 + zishof 4aaec16,Batch/expiry/pajak per baris + input termin langsung di KulakanScreen menyusul (kontrak lama tidak diubah)
SCR-21,P3,21,Tombol Hutang pada Pembelian -> Deep-link Hutang,Keduanya,BACKEND_DONE,si_payable_from_purchase (payableList faktur_id),Menu Hutang Supplier langsung; tombol deep-link di layar Kulakan menyusul,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,Tombol di KulakanScreen menyusul (layar dibagi dgn varian POS)
SCR-22,P3,22,Data Hutang Supplier -> Ledger Hutang,Keduanya,BACKEND_DONE,si_payable_list (register event; outstanding SELALU dihitung),Tab Hutang (supplier+faktur+jatuh tempo+dibayar+sisa+total outstanding),sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,
SCR-23,P3,23,Filter Hutang Lunas,Keduanya,BACKEND_DONE,param tampilkan_lunas (filter visual; event settled tetap tersimpan),toggle Tampilkan Lunas,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,
SCR-24,P3,24,Pembayaran Hutang -> Pembayaran Supplier,Keduanya,BACKEND_DONE,si_payable_payment_create (atomic FOR UPDATE + idempoten kode_unik + alokasi=nominal + tolak lebihi outstanding; metode TUNAI/TRANSFER/GIRO+BG/DISCOUNT/RETUR),form alokasi multi-faktur + lunasi penuh + BG fields,sama,,OK create,,idem,Uji idempoten runtime perlu server,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,Reversal pembayaran posted menyusul (koreksi = reversal bukan delete)
SCR-25,P3,25,Riwayat Pembayaran Hutang,Keduanya,BACKEND_DONE,si_payable_payment_history (periode+metode+alokasi ringkas),tab Pembayaran riwayat + filter,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,
SCR-26,P3,26,Voucher Pembayaran Hutang,Keduanya,BACKEND_DONE,si_payable_payment_receipt (data voucher+alokasi),Voucher PDF client-side (pdf/printing) + kolom ttd 3 pihak,sama,,OK,PDF OK,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,Audit reprint/watermark menyusul
SCR-27,P3,27,Analisis Hutang -> Aging,Keduanya,BACKEND_DONE,si_payable_aging (bucket eksklusif BELUM/1-30/31-60/61-90/>90 + ringkasan = outstanding),tab Aging KPI 5 bucket + drill faktur + as-of,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,
SCR-28,P3,28,Cetak Faktur Pembelian,Keduanya,BACKEND_DONE,reuse kulakan_faktur_detail existing,Cetak PDF faktur (header+items+diskon+total) dari tab Faktur,sama,,OK,PDF OK,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,Snapshot/reprint audit menyusul
SCR-29,P3,29,Laporan Pembelian per Periode,Keduanya,BACKEND_DONE,si_purchase_report (periode+supplier+breakdown cash/DP/credit+sisa),tab Laporan Pembelian KPI + tabel,sama,,OK,PDF/Excel menyusul,idem,,docs/pos-inventory-sales/evidence/p3/,idem SCR-20,
SCR-30,P4,30,Menu Penjualan -> Penjualan Sales / Sales Order,Keduanya,BACKEND_DONE,si_sales_order_create/update/list/detail/status/invoice (entity SalesOrderLapangan+Item; status PESAN/SIAP_KIRIM/TERKIRIM/SIAP_TAGIH; order!=invoice),penjualan_sales_screen (list+chips status+form+detail+transisi),sama (satu codebase),outbox P7,ctx.bolehAksi penjualan_sales + scope sales keliling,cetak order menyusul,mvn EXIT=0; analyze 0 error; test lulus,Menunggu deploy,docs/pos-inventory-sales/evidence/p4/,AIS f1f63aa9 + zishof 1f823e1,D-13: TERKIRIM belum menggerakkan stok (movement via SPJ P5)
SCR-31,P4,31,Membuka Piutang dari Menu Penjualan -> Deep-link Piutang,Keduanya,BACKEND_DONE,si_receivable_from_sale (order_id) + piutangDocId/Nomor di si_sales_order_detail,detail order menampilkan nomor faktur piutang + banner arahan menu Piutang (ledger sama tanpa duplikasi),sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,
SCR-32,P4,32,Data Piutang Customer -> Ledger Piutang,Keduanya,BACKEND_DONE,si_receivable_list (outstanding SELALU dihitung = total - dibayar_awal - alokasi; entity PiutangCustomerDoc),tab Piutang (saldo/jatuh tempo/sales/order/dibayar/sisa + KPI total),sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,saldoPiutang master customer kini gabung 2 sub-ledger (D-12)
SCR-33,P4,33,Menampilkan Piutang yang Sudah Lunas -> Filter Piutang Lunas,Keduanya,BACKEND_DONE,param tampilkan_lunas (filter visual; tanpa delete),toggle Tampilkan Lunas,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,
SCR-34,P4,34,Pembayaran Piutang -> Penerimaan Piutang,Keduanya,BACKEND_DONE,si_collection_create (FOR UPDATE per faktur + idempoten kode_unik + total alokasi = nominal + tolak overpayment + derivasi order LUNAS; metode TUNAI/TRANSFER/GIRO+BG/DISCOUNT/RETUR),tab Penerimaan (alokasi multi-faktur + Lunasi Semua + form BG),sama,outbox P7,OK create,,idem,Uji idempoten runtime perlu server,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,Reversal penerimaan posted menyusul (koreksi = pembalik)
SCR-35,P4,35,Melihat Pembayaran Piutang -> Riwayat Penerimaan,Keduanya,BACKEND_DONE,si_collection_history (periode+customer+sales+string_agg faktur),tab Riwayat + filter periode + total,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,
SCR-36,P4,36,Mencetak Pembayaran Piutang -> Kwitansi Penerimaan,Keduanya,BACKEND_DONE,si_collection_receipt (data kwitansi+alokasi),Kwitansi PDF client-side (tabel alokasi + ttd pembuat/sales/customer),sama,,OK,PDF OK,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,Audit reprint/watermark menyusul
SCR-37,P4,37,Analisis Piutang per Customer -> Aging Customer,Keduanya,BACKEND_DONE,si_receivable_aging_customer (bucket BELUM/1-30/31-60/61-90/>90 + as_of literal tervalidasi),tab Aging Customer KPI 5 bucket + tabel per customer,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,Credit utilization/payment behavior lanjutan menyusul
SCR-38,P4,38,Analisis Piutang per Sales -> Aging per Sales,Keduanya,BACKEND_DONE,si_receivable_aging_sales (assigned vs tertagih vs outstanding + jumlah faktur/lunas per sales),tab Aging per Sales KPI 3 + tabel,sama,,OK (sales keliling hanya dirinya),,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-30,Breakdown per sesi menyusul P5
SCR-39,P5,39,Sales Membawa Nota -> Surat Perintah Sales Jalan,Keduanya,BACKEND_DONE,si_spj_create/update/list/detail/status/nota_assign (entity SuratPerintahSalesJalan+SpjSalesBarang+SpjSalesNota; approve wajib Pemilik/Admin; nomor SPJ- pasca-insert),spj_screen (list+chips+form barang bulk+detail+atur nota+Ajukan/Setujui/Mulai Jalan/Batalkan),sama,outbox flush,scope sales keliling milik sendiri,cetak SPJ ikut laporan sesi PDF,mvn EXIT=0; analyze 0 error; test lulus,Menunggu deploy,docs/pos-inventory-sales/evidence/p4/,AIS 0eb8598e + zishof e290f52,
SCR-40,P5,40,Nota Sales -> Sesi Nota Sales,Keduanya,BACKEND_DONE,si_trip_start(idempoten)/list/detail/nota_result/barang_update/cash_sale/deposit/return/reconcile/close (state machine ERD; close wajib Pemilik/Admin; kas append-only 9 jenis),nota_sales_screen + DetailSesiNotaSales (KPI rumus live + tagih/biaya/kulakan/setoran/tutup),sama,outbox: tagih/biaya/kulakan idempoten,OK,PDF laporan sesi,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-39,
SCR-41,P5+P9,41,Laporan Piutang -> Laporan Sesi & Piutang,Keduanya,BACKEND_DONE,si_trip_report (laporan sesi DUA rumus) + si_receivable_report P9 (REKAP PENJUALAN PER BARANG fungsi legacy: qty+Rp urut nama|fast moving),panel laporan sesi + tab ke-6 Piutang "Laporan (Rekap Barang)" -- jenis eksplisit: rekap barang | Outstanding (tab Piutang) | Register Event (tab Riwayat),sama,,OK,PDF rekap,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-39 + AIS aa9dd08e zishof 6a7178f,
SCR-42,P5,42,Mencetak Laporan Piutang -> Cetak Laporan Sesi/Piutang,Keduanya,BACKEND_DONE,idem SCR-41,Cetak PDF laporan sesi (dua rumus + tabel nota+barang + ttd sales/pemilik),sama,,OK,PDF OK,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-39,QR verifikasi menyusul
SCR-43,P6,43,Kas dan Jurnal -> Kas/Bank/Jurnal,Keduanya,BACKEND_DONE,si_cash_journal_list (REUSE akunting.transaksi existing; total D/K; flag posted),kas_jurnal_screen tab Jurnal + periode,sama,,OK (kunci kas_jurnal),,idem,,docs/pos-inventory-sales/evidence/p4/,AIS fdd04702 + zishof 0000c3c,Kas sesi lapangan di ledger sesi (menu Sesi)
SCR-44,P6,44,Membuat Perkiraan Baru -> Master Akun,Keduanya,BACKEND_DONE,si_coa_list/save (REUSE akunting.akun existing TANPA duplikasi; create/update Pemilik/Admin; tanpa delete),tab Master Akun (cari+form perkiraan),sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-43,
SCR-45,P6+P9,45,Menu Laba/Rugi -> Parameter Laba/Rugi,Keduanya,BACKEND_DONE,si_profit_loss_params + parameter "HPP Tambah (%)" legacy (P9: hpp_tambah_persen 0..100 tervalidasi + di-echo ke cetakan),parameter periode+sales+field HPP Tambah %,sama,,OK (kunci laba_rugi),,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-43 + P9,
SCR-46,P6+P9,46,Mencetak Laba Rugi Kotor -> Laba Kotor,Keduanya,BACKEND_DONE,si_gross_profit_report (HPP SNAPSHOT + markup HPP Tambah % P9; group produk/customer/sales; margin %),tabel laba kotor + ringkasan (+% tambah tercantum) + PDF,sama,,OK,PDF OK,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-43 + P9,
SCR-47,P6+P9,47,Laporan Laba/Rugi -> Laporan Laba/Rugi,Keduanya,BACKEND_DONE,si_profit_loss_report (agregat) + si_profit_loss_detail P9 (grid legacy PER BARIS FAKTUR: Sales/Tanggal/Faktur/Barang/HPP/HrgJual/Jumlah/Rugi-Laba/Customer + filter jual_rugi + lunas/belum dari ledger AR),rincian agregat + tabel per baris faktur + filter Jual Rugi & status lunas (rugi berwarna),sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-43 + P9,
SCR-48,P6,48,Mencetak Laporan Laba/Rugi -> Cetak Laba/Rugi,Keduanya,BACKEND_DONE,idem SCR-47 (si_profit_loss_print alias),Cetak PDF laba/rugi + laba kotor per grup,sama,,OK,PDF OK,idem,,docs/pos-inventory-sales/evidence/p4/,idem SCR-43,Watermark/versi reprint menyusul
TRIP-001,P5,,Surat Perintah Sales Jalan header/status/print,Keduanya,BACKEND_DONE,state machine DRAFT->SUBMITTED->APPROVED->ACTIVE->RETURNED->RECONCILING->CLOSED/CANCELLED + approval eksplisit,spj_screen penuh,sama,,OK,ikut PDF sesi,mvn EXIT=0,,docs/pos-inventory-sales/evidence/p4/,AIS 0eb8598e,
TRIP-002,P5,,Bulk barang dibawa + stok mobil sales,Keduanya,BACKEND_DONE,SpjSalesBarang rencana/dimuat/terjual/kembali/rusak/hilang + invariant + snapshot HPP/harga,editor qty per baris + rekonsiliasi wajib habis,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem,D-14: pemotongan stok toko (movement formula POS) menunggu keputusan UAT
TRIP-003,P5,,Bulk invoice/piutang dibawa,Keduanya,BACKEND_DONE,si_spj_nota_assign bulk + tolak dobel-bawa SPJ aktif + snapshot saldo saat assign,dialog multi-checkbox nota,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem,
TRIP-004,P5,,Collection full/partial/multi-invoice,Keduanya,BACKEND_DONE,reuse si_collection_create + trip_session_id (kas COLLECTION_CASH tunai + nilaiTertagih + status nota PARTIAL/PAID),tombol Tagih per nota + tab Penerimaan multi-faktur,sama,outbox idempoten,OK,kwitansi PDF,idem,,docs/pos-inventory-sales/evidence/p4/,idem,
TRIP-005,P5,,Biaya sales + kategori configurable,Keduanya,BACKEND_DONE,KategoriBiayaSales configurable + seed 9 + si_expense_create idempoten + kas EXPENSE_CASH,dialog biaya berkategori,sama,outbox idempoten,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem,
TRIP-006,P5,,Kulakan dalam sesi cash/DP/credit,Keduanya,BACKEND_DONE,si_trip_purchase_link (hanya dibayar_sesi mengurangi hasil bersih; sisa = hutang baru; link faktur Kulakan),dialog kulakan sesi,sama,outbox idempoten,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem,
TRIP-007,P5,,Return/reconciliation/close session,Keduanya,BACKEND_DONE,si_trip_return/reconcile (invariant barang habis dialokasikan)/close (wajib Pemilik/Admin + snapshot ledger),tombol Kembali/Rekonsiliasi/Tutup Sesi,sama,,OK,,idem,,docs/pos-inventory-sales/evidence/p4/,idem,
TRIP-008,P5,,Rumus hasil bersih + cash reconciliation,Keduanya,BACKEND_DONE,DUA rumus terpisah ERD 4.1/4.2 live + snapshot saat tutup + selisih kas,panel rumus + PDF,sama,,OK,PDF OK,idem,,docs/pos-inventory-sales/evidence/p4/,idem,
MIG-001,P2,,Impor data legacy DBF (SUPPLIER/CUSTOMER/SALES/STOK/masterbl/masterjl),Keduanya,BACKEND_DONE,si_import_legacy (AIS aaf825b5): upsert idempoten by kode; existing tidak ditimpa; saldo STOK via StokOpname migrasi; otorisasi PEMILIK/ADMIN,tab Impor DBF di Konfigurasi (hanya Pemilik + varian IS): parser DBF Dart + ZIP/folder + batch 400 + ringkasan per berkas,sama (folder khusus desktop; Android via ZIP),,gate ganda: tab client + server tolak non-PEMILIK,,analyze 0 error; mvn EXIT=0,Impor nyata 28 DBF arsip user perlu server ter-deploy,docs/pos-inventory-sales/evidence/p2/,AIS aaf825b5 + zishof 50651f2,
